param,value,unit,comment
,ac-ala-ome,,
O11,15.99491461926,amu,"1.37119608,-1.43642628,0.52536540"
O12,15.99491461926,amu,"2.40157585,0.33960713,-0.40901359"
C13,12.0,amu,"3.63784563,-0.37959411,-0.27153998"
H14,1.007825031898,amu,"4.39947852,0.27618084,-0.67506237"
H15,1.007825031898,amu,"3.83222787,-0.59851058,0.77457848"
H16,1.007825031898,amu,"3.59594099,-1.31075114,-0.82929085"
C17,12.0,amu,"0.14724729,1.73107180,0.83042409"
H18,1.007825031898,amu,"-0.77570738,2.29505287,0.72647999"
H19,1.007825031898,amu,"0.25602646,1.41105991,1.86589776"
H20,1.007825031898,amu,"0.98830500,2.36567300,0.56117292"
f_a,0.9262272280381801,,Fractional abundance of this isotopologue
